word_id,label_display,label_speech,pos,category,is_core,page,position_index,symbol_file,audio_human_file,freq_rank,source_note,therapist_ok
mandi,MANDI,mandi,kerja,aktivitas,true,4,17,mandi.png,,791,OS2018 r=791; rutinitas A3,belum
buka,BUKA,buka,kerja,aktivitas,true,5,6,buka.png,,500,OS2018 r=500; PC36 'open',belum
tutup,TUTUP,tutup,kerja,aktivitas,true,5,7,tutup.png,,602,OS2018 r=602; pasangan BUKA,belum
pakai,PAKAI,pakai,kerja,aktivitas,true,5,8,pakai.png,,654,OS2018 r=654; berpakaian,belum
cuci,CUCI,cuci,kerja,aktivitas,true,5,9,cuci.png,,3490,OS2018 r=3490; cuci tangan; rutinitas,belum
pipis,PIPIS,pipis,kerja,aktivitas,true,5,10,pipis.png,,6422,"OS2018 r=6422; kebutuhan toileting; frekuensi subtitel rendah, kebutuhan klinis tinggi",belum
pup,PUP,pup,kerja,aktivitas,true,5,11,custom/pup.png,,24895,"OS2018 r=24895; toileting; register keluarga bervariasi (pup/eek/BAB), konfirmasi terapis",belum
baca,BACA,baca,kerja,aktivitas,true,5,12,baca.png,,1448,OS2018 r=1448; bukan kata PC36; kegiatan rumah dan sekolah,belum
nonton,NONTON,nonton,kerja,aktivitas,true,5,13,nonton.png,,2800,OS2018 r=2800; negosiasi layar; sangat sering di keluarga,belum
ngaji,NGAJI,ngaji,kerja,aktivitas,true,5,14,ngaji.png,,,OS2018 r=-; konteks Indonesia (proposal); 0 kemunculan di korpus subtitel,belum
dengar,DENGAR,dengar,kerja,aktivitas,true,5,15,dengar.png,,131,OS2018 r=131; kata pemodelan pendamping,belum
peluk,PELUK,peluk,kerja,aktivitas,true,5,16,peluk.png,,6607,OS2018 r=6607; afeksi; regulasi sensorik,belum
main,MAIN,main,kerja,aktivitas,true,5,17,main.png,,897,OS2018 r=897; rutinitas A3,belum
lapar,LAPAR,lapar,sifat,perasaan,true,6,6,lapar.png,,942,OS2018 r=942; keadaan tubuh,belum
haus,HAUS,haus,sifat,perasaan,true,6,7,haus.png,,3219,OS2018 r=3219; keadaan tubuh,belum
capek,CAPEK,capek,sifat,perasaan,true,6,8,custom/capek.png,,5366,OS2018 r=5366; register anak; 'lelah' formal dibuang,belum
ngantuk,NGANTUK,ngantuk,sifat,perasaan,true,6,9,ngantuk.png,,12885,OS2018 r=12885; keadaan tubuh; frekuensi subtitel rendah,belum
senang,SENANG,senang,sifat,perasaan,true,6,10,senang.png,,207,OS2018 r=207; emosi dasar,belum
sedih,SEDIH,sedih,sifat,perasaan,true,6,11,sedih.png,,1171,OS2018 r=1171; emosi dasar,belum
marah,MARAH,marah,sifat,perasaan,true,6,12,marah.png,,438,OS2018 r=438; emosi dasar,belum
takut,TAKUT,takut,sifat,perasaan,true,6,13,takut.png,,244,OS2018 r=244; emosi dasar,belum
panas,PANAS,panas,sifat,deskripsi,true,7,6,panas.png,,542,OS2018 r=542; sensorik; pasangan DINGIN,belum
dingin,DINGIN,dingin,sifat,deskripsi,true,7,7,dingin.png,,611,OS2018 r=611; sensorik; pasangan PANAS,belum
besar,BESAR,besar,sifat,deskripsi,true,7,8,besar.png,,132,OS2018 r=132; pasangan KECIL,belum
kecil,KECIL,kecil,sifat,deskripsi,true,7,9,kecil.png,,195,OS2018 r=195; pasangan BESAR,belum
enak,ENAK,enak,sifat,deskripsi,true,7,10,enak.png,,667,OS2018 r=667; penilaian makanan,belum
bagus,BAGUS,bagus,sifat,deskripsi,true,7,11,bagus.png,,88,OS2018 r=88; PC36 'good',belum
kotor,KOTOR,kotor,sifat,deskripsi,true,7,12,kotor.png,,1231,OS2018 r=1231; sensorik; 'bersih' dibuang (komposabel: TIDAK KOTOR),belum
cepat,CEPAT,cepat,sifat,deskripsi,true,7,13,cepat.png,,130,OS2018 r=130; tempo; 'pelan' dibuang,belum
nasi,NASI,nasi,benda,makanan,true,8,6,nasi.png,,4302,OS2018 r=4302; konteks Indonesia (proposal),belum
air,AIR,air,benda,makanan,true,8,7,air.png,,278,OS2018 r=278; minum air,belum
susu,SUSU,susu,benda,makanan,true,8,8,susu.png,,1927,OS2018 r=1927,belum
roti,ROTI,roti,benda,makanan,true,8,9,roti.png,,1570,OS2018 r=1570,belum
buah,BUAH,buah,benda,makanan,true,8,10,buah.png,,1406,"OS2018 r=1406; kategori umum, bukan jenis buah",belum
kue,KUE,kue,benda,makanan,true,8,11,kue.png,,1165,OS2018 r=1165,belum
ayam,AYAM,ayam,benda,makanan,true,8,12,ayam.png,,1278,OS2018 r=1278; lauk paling umum,belum
permen,PERMEN,permen,benda,makanan,true,8,13,permen.png,,2149,OS2018 r=2149; memotivasi anak; kosakata harus memotivasi,belum
ibu,IBU,ibu,benda,orang,true,9,6,ibu.png,,138,OS2018 r=138; label_speech bisa diganti per keluarga (mama/bunda),belum
ayah,AYAH,ayah,benda,orang,true,9,7,ayah.png,,113,OS2018 r=113; label_speech bisa diganti per keluarga (papa/abi),belum
kakak,KAKAK,kakak,benda,orang,true,9,8,kakak.png,,724,OS2018 r=724,belum
adik,ADIK,adik,benda,orang,true,9,9,adik.png,,1277,OS2018 r=1277,belum
nenek,NENEK,nenek,benda,orang,true,9,10,nenek.png,,892,"OS2018 r=892; 'kakek' dibuang, tambah lewat kartu personal",belum
guru,GURU,guru,benda,orang,true,9,11,guru.png,,535,OS2018 r=535,belum
teman,TEMAN,teman,benda,orang,true,9,12,teman.png,,211,OS2018 r=211,belum
rumah,RUMAH,rumah,benda,tempat,true,10,6,rumah.png,,125,OS2018 r=125,belum
sekolah,SEKOLAH,sekolah,benda,tempat,true,10,7,sekolah.png,,323,OS2018 r=323,belum
kamar_mandi,KAMAR MANDI,kamar mandi,benda,tempat,true,10,8,kamar_mandi.png,,,OS2018 r=-; bigram; tidak ada di daftar unigram,belum
mobil,MOBIL,mobil,benda,tempat,true,10,9,mobil.png,,254,OS2018 r=254; kendaraan,belum
motor,MOTOR,motor,benda,tempat,true,10,10,motor.png,,2268,OS2018 r=2268; kendaraan keluarga paling umum di Indonesia,belum
angkot,ANGKOT,angkot,benda,tempat,true,10,11,angkot.png,,,"OS2018 r=-; konteks Indonesia (proposal); 1 kemunculan di daftar penuh, di luar 50k",belum
warung,WARUNG,warung,benda,tempat,true,10,12,warung.png,,11258,OS2018 r=11258; konteks Indonesia (proposal),belum
mainan,MAINAN,mainan,benda,benda,true,11,6,mainan.png,,2290,OS2018 r=2290,belum
bola,BOLA,bola,benda,benda,true,11,7,bola.png,,759,OS2018 r=759,belum
buku,BUKU,buku,benda,benda,true,11,8,buku.png,,442,OS2018 r=442,belum
hape,HP,hape,benda,benda,true,11,9,hape.png,,25987,OS2018 r=25987; register anak; 'ponsel' formal dibuang,belum
baju,BAJU,baju,benda,benda,true,11,10,baju.png,,1037,OS2018 r=1037,belum
obat,OBAT,obat,benda,benda,true,11,11,obat.png,,695,OS2018 r=695; pasangan SAKIT,belum
kepala,KEPALA,kepala,benda,tubuh,true,12,6,kepala.png,,338,OS2018 r=338; SAKIT + KEPALA,belum
perut,PERUT,perut,benda,tubuh,true,12,7,perut.png,,2316,OS2018 r=2316; SAKIT + PERUT,belum
gigi,GIGI,gigi,benda,tubuh,true,12,8,gigi.png,,1326,OS2018 r=1326; SAKIT + GIGI,belum
tangan,TANGAN,tangan,benda,tubuh,true,12,9,tangan.png,,287,OS2018 r=287; CUCI + TANGAN,belum
kaki,KAKI,kaki,benda,tubuh,true,12,10,kaki.png,,478,OS2018 r=478,belum
mata,MATA,mata,benda,tubuh,true,12,11,mata.png,,389,OS2018 r=389,belum
